PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
3322.19,,434.99,448.51,,,10511.61,,5.38,,,853.23,-3.63,160.84,251.46,,15984.58,166.55,,466.98,-3.65,,447.12,-69.87,,,,,1007.13,571.05,1578.18,21.23,1528.09,494.77,1.14,23.81,,,,,19631.80,,,,,,1.92,0.14,3685.92,1,6,837,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,2
3341.98,78.01,81.97,707.19,140.05,0.00,-0.17,0.00,1188.54,3.69,79.39,1172.21,0.00,331.39,0.00,0.00,7124.26,1715.08,0.00,1431.25,1216.91,0.00,1424.22,221.12,0.00,0.00,0.00,0.00,6008.58,0.00,6008.58,0.00,390.26,557.09,0.00,152.48,0.00,,0.00,0.00,14232.67,,,,,,2.53,0.73,4240.85,2,6,625,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,80006,D,2,2,2024,1
3361.75,,419.23,452.72,,,9444.78,,182.49,,,929.23,,96.53,240.06,,15126.78,169.77,,405.62,11.67,,476.01,96.89,,,,,1159.96,629.55,1789.51,23.37,1563.07,505.15,1.20,24.13,,,,,19033.21,,,,,,1.86,0.14,3618.80,1,6,837,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,3
3371.06,0.00,154.08,0.00,0.00,,9106.89,18.09,3049.87,0.00,418.97,210.93,0.00,178.17,0.00,0.00,16508.05,1467.85,0.00,0.00,0.00,,2183.75,553.55,0.00,0.00,0.00,0.00,4205.15,0.00,4205.15,0.00,0.00,0.00,439.58,0.00,181.14,,0.00,,21333.92,,,,,,3.93,0.53,2779.29,1,6,612,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,2,2,2024,4
3392.74,0.00,864.46,135.46,0.00,0.00,7656.18,0.00,137.76,0.00,47.55,839.13,0.00,110.95,407.72,3.44,13595.38,60.14,2.77,515.96,779.39,0.00,211.54,14.52,0.00,0.00,0.00,0.00,1584.31,709.85,2294.16,81.30,2657.39,564.52,109.34,72.09,0.00,,0.00,0.00,19374.18,,,,,,1.94,0.18,3397.63,1,6,837,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3,3,2024,4
3401.00,0.00,114.00,239.00,0.00,0.00,10025.00,0.00,329.00,0.00,38.00,764.00,0.00,127.00,0.00,9.00,15046.00,190.00,59.00,386.00,616.00,0.00,409.00,195.00,0.00,0.00,0.00,0.00,1855.00,697.00,2552.00,20.00,610.00,313.00,15.00,47.00,0.00,,51.00,0.00,18654.00,,,,,,1.85,0.14,3820.24,1,6,687,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2024,2
3423.00,0.00,2.00,241.00,8.00,0.00,5799.00,12.00,289.00,0.00,15.00,1011.00,0.00,187.00,259.00,40.00,11286.00,511.00,22.00,809.00,845.00,0.00,124.00,103.00,0.00,0.00,0.00,0.00,2415.00,539.00,2954.00,16.00,786.00,302.00,78.00,0.00,15.00,,0.00,,15438.00,,,,,,2.76,0.30,2403.00,1,6,614,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,16031,L,3,3,2024,4
3467.89,0.00,0.00,123.12,3.95,,14583.60,13.82,486.56,2.25,82.40,851.49,0.00,98.18,92.57,-12.86,19792.99,784.95,0.00,1338.37,0.00,,664.25,1728.40,0.00,,0.00,,4515.97,924.85,5440.82,,840.71,328.16,82.88,,,,13.97,,26499.52,,,,,,1.69,0.19,5942.22,2,8,819,19917,5X,United Parcel Service,5X,United Parcel Service,16911,A,3,3,2024,3
3474.12,,443.65,438.42,,,8008.55,,30.24,,,890.00,-0.23,81.18,125.01,,13490.93,211.02,,713.95,12.12,,745.98,22.97,,,,,1706.03,661.62,2367.65,26.33,1686.72,547.35,1.34,25.93,,,,,18146.25,,,,,,1.93,0.15,3353.15,1,6,837,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,4
3487.61,0.00,34.71,69.02,8.64,0.00,7212.47,0.00,2308.88,0.59,65.97,744.12,0.00,250.75,290.33,0.00,14473.07,773.47,0.00,171.09,82.68,0.00,148.31,393.62,0.00,0.00,0.00,0.00,1569.17,0.00,1569.17,0.00,577.01,51.03,12.54,0.00,0.00,,527.65,,17210.46,,,,,,3.10,0.35,2825.87,1,6,694,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2024,2
3499.45,0.00,0.00,147.60,3.71,,15636.00,16.00,543.82,1.90,81.36,931.23,0.00,177.48,99.20,3.52,21141.25,748.44,0.00,1641.14,0.00,,834.00,2321.88,0.00,,0.00,,5545.46,910.76,6456.21,,937.81,366.06,92.80,,,,14.46,,29008.60,,,,,,1.09,0.21,5990.62,2,8,819,19917,5X,United Parcel Service,5X,United Parcel Service,16911,A,3,3,2024,2
3500.00,0.00,351.00,1206.00,83.00,,7003.00,,0.00,11.00,11.00,199.00,,425.00,268.00,150.00,13207.00,2527.00,281.00,92.00,87.00,,465.00,388.00,744.00,,712.00,,5296.00,19855.00,25151.00,,631.00,676.00,121.00,-6.00,,,,,39780.00,,,,,,1.20,0.20,2951.51,2,7,740,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,1
3507.05,0.00,300.22,0.89,2.41,0.00,11763.10,0.00,6439.01,0.00,7.01,552.36,0.00,381.69,276.71,7.11,23237.56,868.96,0.00,368.59,71.21,0.00,81.67,0.00,0.00,0.00,0.00,0.00,1390.43,1306.47,2696.90,0.00,0.00,0.00,47.55,0.00,185.28,,0.00,,26167.29,,,,,,6.06,0.56,4261.70,1,6,722,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3,3,2024,2
3518.97,,331.48,382.11,,,13322.17,,0.08,,,968.98,,300.91,16.04,,18840.75,165.85,0.30,362.98,1832.33,,364.02,67.49,,,,,2792.95,545.74,3338.69,149.93,920.93,406.70,40.40,61.92,,,,,23759.33,,,,,,2.59,0.23,4651.44,1,6,624,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,1
3535.00,0.00,347.00,1176.00,104.00,,8437.00,,0.00,14.00,12.00,0.00,,360.00,320.00,3152.00,17457.00,2743.00,305.00,125.00,101.00,,535.00,371.00,837.00,,684.00,,5701.00,24880.00,30581.00,,614.00,692.00,137.00,-5.00,,,,,49476.00,,,,,,1.36,0.21,3498.69,2,7,740,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,2
3546.33,97.03,632.95,1478.69,129.57,0.00,14535.37,0.00,5267.18,53.62,163.96,410.25,0.00,279.63,0.00,0.00,26594.59,1959.36,10.12,1011.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2981.32,1355.09,4336.41,0.00,0.00,0.00,0.00,0.00,1017.56,,0.00,,31948.56,,,,,,1.54,0.27,3640.01,1,6,627,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,16736,I,2,2,2024,2
3549.59,,477.71,455.59,,,10273.89,,5.84,,,971.45,,301.68,269.56,,16305.31,170.30,,288.31,6.72,,551.12,71.01,,,,,1087.46,576.21,1663.67,20.39,1651.41,530.05,1.22,21.19,,,,,20193.25,,,,,,1.86,0.15,3508.63,1,6,837,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,1
