PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
3160.23,0.00,323.56,1368.77,0.00,0.00,7591.71,59.16,1407.00,0.00,568.01,207.21,0.00,189.41,0.00,23.51,14898.57,1343.77,0.00,441.12,0.00,0.00,610.91,0.00,0.00,0.00,0.00,0.00,2395.80,0.00,2395.80,0.00,2332.76,1122.18,913.58,0.00,0.00,,0.00,,21662.90,,,,,,1.65,0.34,5895.79,2,8,820,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2025,3
3169.00,0.00,45.00,194.00,0.00,0.00,5193.00,0.00,243.00,0.00,34.00,751.00,0.00,112.00,0.00,6.00,9747.00,161.00,67.00,47.00,561.00,0.00,290.00,47.00,0.00,0.00,0.00,0.00,1173.00,582.00,1755.00,22.00,440.00,259.00,3.00,26.00,0.00,,30.00,0.00,12282.00,,,,,,1.38,0.14,2298.82,1,6,626,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3,3,2025,4
3175.27,0.00,0.00,112.97,2.73,,12994.49,14.31,529.34,2.03,81.18,898.14,0.00,308.01,92.33,-1.84,18208.94,745.45,0.00,1695.83,0.00,,553.88,2445.34,0.00,,0.00,,5440.50,839.67,6280.17,,916.71,357.17,90.18,,,,13.15,,25866.32,,,,,,1.59,0.20,5354.85,2,8,819,19917,5X,United Parcel Service,5X,United Parcel Service,16911,A,3,3,2025,1
3177.84,0.00,878.46,83.30,123.34,0.00,86.61,0.00,1152.37,-2.96,29.07,1080.80,0.00,311.26,38.18,2.47,6960.72,1250.84,0.00,313.16,363.95,0.00,501.36,14.08,0.00,0.00,0.00,20.08,2463.46,2227.52,4690.99,0.00,653.98,986.08,106.56,50.01,0.00,,0.00,,13448.33,,,,,,0.44,1.39,161.34,1,6,629,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,06024,D,2,2,2025,2
3188.87,63.82,72.82,869.88,149.01,0.00,91.99,0.00,1005.37,2.81,116.68,649.61,0.00,254.05,0.00,0.00,6464.91,2561.40,0.00,1171.53,702.97,0.00,1776.49,203.62,0.00,0.00,0.00,0.00,6416.00,0.00,6416.00,0.00,366.18,540.53,0.00,70.35,0.00,,0.00,0.00,13857.98,,,,,,2.66,0.68,4525.46,2,6,625,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,80006,D,2,2,2025,3
3199.94,,305.98,397.98,,,7742.32,,5.77,,11.47,847.50,-31.97,162.20,4.83,,12646.01,159.24,0.61,359.88,51.57,,669.56,69.37,,,,,1310.24,502.74,1812.98,14.22,1198.87,273.02,2.95,36.15,,,,,15984.20,,,,,,1.76,0.12,3421.65,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,2
3205.60,0.00,152.33,1218.96,0.00,0.00,8869.63,-15.95,1408.50,0.00,562.92,193.32,0.00,224.43,0.00,36.52,15856.26,1346.06,0.00,219.75,0.00,0.00,847.25,0.00,0.00,0.00,0.00,0.00,2413.06,0.00,2413.06,0.00,2158.51,1101.42,896.09,0.00,0.00,,0.00,,22425.34,,,,,,1.51,0.35,5288.44,2,8,820,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2025,2
3222.13,0.00,24.30,56.90,10.91,0.00,5079.17,0.00,3199.75,-0.03,76.15,713.89,0.00,159.08,181.78,0.00,12724.02,727.02,0.00,269.44,111.62,0.00,182.15,403.42,0.00,0.00,0.00,0.00,1693.65,0.00,1693.65,0.00,370.39,55.87,14.08,0.00,0.00,,358.71,,15216.72,,,,,,2.50,0.41,2197.42,1,6,721,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2025,3
3253.00,,295.12,395.01,,,8519.63,,0.16,,10.23,810.47,-47.72,91.00,7.53,,13334.42,156.32,0.76,294.79,48.23,,757.04,112.66,,,,,1369.79,511.80,1881.59,13.92,1180.86,270.71,2.87,35.40,,,,,16719.77,,,,,,1.81,0.11,3634.06,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,3
3283.84,67.69,0.00,179.88,5.13,,13340.25,12.96,449.67,16.10,0.00,637.04,0.00,66.32,52.50,190.05,18301.44,689.38,0.00,1189.17,0.00,,567.74,2123.23,0.00,,0.00,,4569.52,887.61,5457.14,,1135.25,0.00,0.00,,,,9.54,,24903.36,,,,,,1.59,0.17,5443.65,2,8,819,19917,5X,United Parcel Service,5X,United Parcel Service,16911,A,3,3,2025,4
